id(product)	store(név)	row(sor)(név)	id_store	column(név)	id_row	product(név)	id_column	price
0	Élelmiszer Nagyker							520
1	Élelmiszer Nagyker							276
2	Élelmiszer Nagyker							380
3	Élelmiszer Nagyker							271
4	Élelmiszer Nagyker							236
5	Élelmiszer Nagyker							591
6	Élelmiszer Nagyker							252
7	Élelmiszer Nagyker							509
8	Élelmiszer Nagyker							515
9	Élelmiszer Nagyker							409
10	Élelmiszer Nagyker							454
11	Élelmiszer Nagyker							476
12	Élelmiszer Nagyker							280
13	Élelmiszer Nagyker							408
14	Élelmiszer Nagyker							303
15	Élelmiszer Nagyker							596
16	Élelmiszer Nagyker							221
17	Élelmiszer Nagyker							430
18	Élelmiszer Nagyker							395
19	Élelmiszer Nagyker							469
20	Élelmiszer Nagyker							392
21	Élelmiszer Nagyker							587
22	Élelmiszer Nagyker							587
23	Élelmiszer Nagyker							396
24	Élelmiszer Nagyker							538
25	Élelmiszer Nagyker							211
26	Élelmiszer Nagyker							507
27	Élelmiszer Nagyker							522
28	Élelmiszer Nagyker							534
29	Coca Cola 							549
30	Coca Cola 							417
31	Coca Cola 							419
32	Coca Cola 							429
33	Coca Cola 							444
34	Coca Cola 							471
35	Coca Cola 							477
36	T-Depo							1860
37	T-Depo							2177
38	T-Depo							1759
39	T-Depo							1742
40	T-Depo							1935
41	T-Depo							2321
42	T-Depo							2242
43	T-Depo							2203
44	T-Depo							1852
45	T-Depo							2223
46	T-Depo							2000
47	T-Depo							2245
48	T-Depo							1670
49	T-Depo							1547
50	T-Depo							1896
51	T-Depo							1877
52	T-Depo							2001
53	T-Depo							2395
54	T-Depo							1522
55	T-Depo							1592
56	T-Depo							2366
57	Liqui Moly							2795
58	Liqui Moly							3903
59	Liqui Moly							3593
60	Liqui Moly							5557
61	Liqui Moly							5833
62	Liqui Moly							5649
63	Liqui Moly							4716
64	Liqui Moly							4268
65	Liqui Moly							2621
66	Liqui Moly							4356
67	Liqui Moly							4754
68	Liqui Moly							3975
69	Liqui Moly							4188
70	Liqui Moly							3692
71	Liqui Moly							3273
72	Liqui Moly							4805
73	Liqui Moly							5616
74	Liqui Moly							3277
75	Liqui Moly							3945
76	Liqui Moly							5329
77	Liqui Moly							5319
78	Liqui Moly							2768
79	Liqui Moly							4533
80	Liqui Moly							3204
81	Liqui Moly							2622
82	Liqui Moly							5992
83	Liqui Moly							2667
84	Liqui Moly							3689
85	Liqui Moly							4923
86	Liqui Moly							4955
87	Liqui Moly							3970
88	Liqui Moly							3287
89	Liqui Moly							3748
90	Liqui Moly							5892
91	Liqui Moly							4837
92	Liqui Moly							3802
93	Liqui Moly							3750
94	Liqui Moly							4949
95	Liqui Moly							5765
96	Liqui Moly							2824
97	Liqui Moly							5693
98	Liqui Moly							2503
